date,pollutant,mean,std,min,max,count
2022-03-31,PM10,34.37371479660259,25.92361440522987,1.0,230.0,2237
2022-04-01,O3,69.21870824053453,31.605161642196247,1.0,138.0,2245
2022-04-01,PM2.5,22.75099689853788,15.30192461357317,1.0,120.0,2257
2022-04-01,PM10,49.521238938053095,29.233678454603627,3.0,212.0,2260
2022-04-02,O3,71.60231832367366,30.93706141563301,1.0,154.0,2243
2022-04-02,PM2.5,23.17327394209354,17.346997024337444,1.0,95.0,2245
2022-04-02,PM10,46.589309576837415,30.409010968389854,2.0,171.0,2245
2022-04-03,O3,78.00930851063829,42.42160481636216,1.0,184.0,2256
2022-04-03,PM2.5,32.15722441809398,19.346319223118236,1.0,101.0,2277
2022-04-03,PM10,68.41388400702988,31.084612412755295,3.0,202.0,2276
2022-04-04,O3,102.51445086705202,49.127585824104635,1.0,202.0,2249
2022-04-04,PM2.5,53.32157213041536,19.56181973780215,1.0,106.0,2239
2022-04-04,PM10,102.90111856823266,30.78878865072127,19.0,236.0,2235
2022-04-05,O3,90.56021409455843,35.653491290017676,1.0,195.0,2242
2022-04-05,PM2.5,41.67917783735478,27.93585184755007,1.0,115.0,2238
2022-04-05,PM10,104.23651079136691,49.80951844169715,7.0,597.0,2224
2022-04-06,O3,77.3810367744794,22.248508917135663,2.0,169.0,2257
2022-04-06,PM2.5,21.50221238938053,20.85587912844667,1.0,136.0,2260
2022-04-06,PM10,75.07873665480427,37.68403869106176,5.0,270.0,2248
2022-04-07,O3,67.81979582778517,38.318234567341186,1.0,176.0,2253
2022-04-07,PM2.5,28.67670504871568,17.6426991638063,1.0,123.0,2258
2022-04-07,PM10,77.05400619743249,35.57607496465938,6.0,234.0,2259
2022-04-08,O3,99.0168439716312,57.04012585378271,1.0,227.0,2256
2022-04-08,PM2.5,65.42149491375497,34.00578374816454,1.0,198.0,2261
2022-04-08,PM10,128.19929140832596,47.32769465669529,4.0,411.0,2258
2022-04-09,O3,102.5280353200883,47.2124056252793,1.0,285.0,2265
2022-04-09,PM2.5,66.43675628029969,35.44509018238096,1.0,198.0,2269
2022-04-09,PM10,132.39920774647888,51.682147966066765,10.0,418.0,2272
2022-04-10,O3,108.61977011494253,56.76678059620342,1.0,245.0,2175
2022-04-10,PM2.5,69.08038585209003,30.02879442263292,14.0,172.0,2177
2022-04-10,PM10,141.3413063477461,41.65403105325183,49.0,316.0,2174
2022-04-11,O3,91.01993797075764,35.343821103615745,1.0,223.0,2257
2022-04-11,PM2.5,55.59503766061143,34.15321536568276,1.0,200.0,2257
2022-04-11,PM10,161.4297777777778,107.14485191114751,24.0,1038.0,2250
2022-04-12,O3,82.73107747105966,19.788300450646986,6.0,136.0,2246
2022-04-12,PM2.5,19.087711487088157,12.854617598555592,1.0,98.0,2246
2022-04-12,PM10,66.86416443252904,36.88734089998628,2.0,546.0,2238
2022-04-13,O3,83.80844444444445,29.23711826167062,2.0,149.0,2250
2022-04-13,PM2.5,26.949755446865275,15.700669956017991,1.0,146.0,2249
2022-04-13,PM10,59.90722569134701,32.66398758827106,5.0,268.0,2242
2022-04-14,O3,73.3099910793934,28.702428790358077,1.0,130.0,2242
2022-04-14,PM2.5,19.074534161490682,12.323275642649396,1.0,63.0,2254
2022-04-14,PM10,43.35155555555556,24.881487268476498,2.0,169.0,2250
2022-04-15,O3,79.43280282935456,25.17417035853461,2.0,142.0,2262
2022-04-15,PM2.5,17.10731707317073,12.621981833140891,1.0,79.0,2255
2022-04-15,PM10,37.62477797513321,26.26345495809986,2.0,193.0,2252
2022-04-16,O3,75.79448398576513,37.23507279071938,1.0,151.0,2248
2022-04-16,PM2.5,20.019572953736656,13.476702230904952,1.0,110.0,2248
2022-04-16,PM10,48.076478434859936,29.376557758071257,3.0,283.0,2249
2022-04-17,O3,79.39558498896247,35.48504367869002,1.0,157.0,2265
2022-04-17,PM2.5,39.13070447496677,18.990756819135168,1.0,130.0,2257
2022-04-17,PM10,80.0958110516934,31.26505627043604,9.0,363.0,2244
2022-04-18,O3,95.94070441373161,43.96314831794266,1.0,201.0,2243
2022-04-18,PM2.5,45.65526432696579,23.19280136481603,1.0,138.0,2251
2022-04-18,PM10,81.71996426976328,39.75024426877198,3.0,196.0,2239
2022-04-19,O3,93.8173719376392,41.83540301505196,1.0,184.0,2245
2022-04-19,PM2.5,41.73071778867588,27.25398900844071,1.0,177.0,2243
2022-04-19,PM10,75.40528437080161,40.200873910446866,3.0,219.0,2233
